"Date","APPL","NASDAQ","WTI","Gold","Copper","TNYR","DXY","CQQQ","CAC40"
2015-09-24,26.482946,4734.47998,44.91,1153.800049,2.312,2.12,95.989998,27.768255,4347.240234
2015-09-25,26.416162,4686.5,45.700001,1146,2.2915,2.168,96.269997,27.381144,4480.660156
2015-09-28,25.893421,4543.970215,44.43,1132,2.256,2.095,96.029999,26.871284,4357.049805
2015-09-29,25.115047,4517.319824,45.23,1127.099976,2.2535,2.054,95.889999,27.1451,4343.72998
2015-09-30,25.4006,4620.160156,45.09,1115.5,2.3455,2.06,96.349998,27.85323,4455.290039
2015-10-01,25.234791,4627.080078,44.740002,1114.199951,2.3075,2.042,96.190002,27.806023,4426.540039
2015-10-02,25.419024,4707.779785,45.540001,1137.099976,2.3295,1.989,95.830002,29.430008,4458.879883
2015-10-05,25.511141,4781.259766,46.259998,1138.099976,2.36,2.056,96.110001,29.836002,4616.899902
2015-10-06,25.633194,4748.359863,48.529999,1146.800049,2.359,2.035,95.459999,29.496098,4660.640137
2015-10-07,25.511141,4791.149902,47.810001,1149,2.3715,2.062,95.5,30.090929,4667.339844
2015-10-08,25.216373,4810.790039,49.43,1144.699951,2.347,2.108,95.32,30.18535,4675.910156
2015-10-09,25.819729,4830.470215,49.630001,1156.300049,2.417,2.099,94.809998,30.260883,4701.390137
2015-10-12,25.699968,4838.640137,47.099998,1164.900024,2.4195,2.09,94.839996,30.902925,4688.700195
2015-10-13,25.743731,4796.609863,46.66,1165.800049,2.3915,2.055,94.760002,30.723534,4643.379883
2015-10-14,25.379879,4782.850098,46.639999,1180.099976,2.42,1.981,93.93,30.411953,4609.029785
2015-10-15,25.759848,4870.100098,46.380001,1187.900024,2.426,2.023,94.370003,31.818775,4675.290039
2015-10-16,25.571016,4886.689941,47.259998,1183.599976,2.407,2.023,94.540001,32.102028,4702.790039
2015-10-19,25.729916,4905.470215,45.889999,1173.300049,2.3715,2.028,94.959999,32.083141,4704.069824
2015-10-20,26.199694,4880.970215,45.549999,1178,2.3695,2.071,94.849998,31.913189,4673.810059
2015-10-21,26.197388,4840.120117,45.200001,1167.599976,2.364,2.03,95.050003,31.290037,4695.100098
2015-10-22,26.598089,4920.049805,45.380001,1166.599976,2.3845,2.025,96.339996,31.9604,4802.180176
2015-10-23,27.422522,5031.859863,44.599998,1163.300049,2.35,2.083,97.07,32.772392,4923.640137
